folder_name,automated_category,content_verified_category,match_yn,evidence_snippet,notes
hou_2015_dff_bacteremia,Oncology_Cell_Pathology,Antimicrobial_Susceptibility_Testing,N,Protocol isolates intact bacterial pathogens directly from whole blood using dean flow fractionation and screens for antibiotic drug resistance.,Automated classifier labeled Oncology_Cell_Pathology due to 'bacteremia' keyword; actual protocol is rapid bacteremia isolation and antibiotic susceptibility testing.
hou_margination_pathogen_removal_blood,Other,Extraction_Purification,N,Protocol removes pathogens and leukocytes from whole blood continuously using biomimetic cell margination in inertial microfluidic channels.,Automated classifier labeled Other; blood pathogen separation and purification.
jebrail_combinatorial_peptidomimetics_dmf,Chemistry_Synthesis_Purification_MS,Chemistry_Synthesis_Purification_MS,Y,Protocol performs automated combinatorial solid-phase chemical synthesis of peptidomimetic oligomers on a digital microfluidic platform.,
jebrail_dmf_evaporation_mgmt,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,Protocol characterizes and regulates automated solvent replenishment algorithms to prevent droplet evaporation on open DMF chips.,
jebrail_dmf_protein_precipitation,Extraction_Purification,Extraction_Purification,Y,"Protocol mixes protein samples with trichloroacetic acid on DMF, precipitates protein aggregates, washes the pellet, and resolubilizes it.",
jebrail_macrocycle_dmf,Chemistry_Synthesis_Purification_MS,Chemistry_Synthesis_Purification_MS,Y,Protocol conducts multi-step automated chemical synthesis and cyclization of peptide-based macrocycles on digital microfluidics.,
jebrail_world_to_dmf_rna_extraction,Extraction_Purification,Extraction_Purification,Y,"Protocol processes whole blood through a macro-to-micro interface, performing automated on-chip magnetic bead RNA extraction and purification.",
junkin_single_cell_immune_dynamics,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol monitors dynamic NF-kB nuclear translocation and cytokine secretion in live single macrophages exposed to immune stimuli.,
junkin_tay_singlecell_immune,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol tracks single-cell immune signaling cascades and temporal transcription factor dynamics in microfluidic cell chambers.,
kellogg_microfluidic_singlecell_pipeline,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol cultures and images hundreds of individual mammalian cells in parallel chambers to analyze dynamic cytokine signaling pathways.,
kellogg_nfkb_digital_signaling,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol performs live-cell fluorescence imaging of single-cell NF-kB transcription factor activation under varying ligand concentrations.,
kellogg_nfkb_tlr_nonintegrative,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol exposes single immune cells to combinatorial Toll-like receptor agonists to measure single-cell signaling responses.,
khoo_ctc_liquid_biopsy_drug_screening,Oncology_Cell_Pathology,Oncology_Cell_Pathology,Y,"Protocol isolates circulating tumor cells from blood, expands CTC clusters on-chip, and screens sensitivity to anticancer drug panels.",
khoo_ctc_microfluidic_cluster,Oncology_Cell_Pathology,Oncology_Cell_Pathology,Y,Protocol captures and cultures patient-derived circulating tumor cell clusters in microfluidic microwell arrays for phenotypic analysis.,
kim2013_ngs_library_prep_dmf,PCR_NucleicAcid,PCR_NucleicAcid,Y,"Protocol automates DNA fragmentation, end repair, adapter ligation, and PCR amplification for next-generation sequencing library prep on DMF.",
kim_icp_multistage_brine_desalination,Chemistry_Synthesis_Purification_MS,Chemistry_Synthesis_Purification_MS,Y,Protocol performs continuous desalination and ion separation of high-salinity brine using multi-stage ion concentration polarization.,
kim_immunomodulator_hts,Chemistry_Synthesis_Purification_MS,Chemistry_Synthesis_Purification_MS,Y,Protocol synthesizes and screens combinatorial small-molecule immunomodulators and adjuvants for toll-like receptor activation.,
ko_multiplexed_nanofluidic_concentration_immunoassay,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol preconcentrates biomarker proteins via nanofluidic ion concentration polarization and performs sensitive heterogeneous immunoassay detection.,
kwak_icp_continuous_flow_concentrator,Chemistry_Synthesis_Purification_MS,Chemistry_Synthesis_Purification_MS,Y,Protocol continuously concentrates charged biomolecules and chemical solutes using a microfluidic ion concentration polarization junction.,
kwon_microfluidic_cell_retention_perfusion,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol retains high-density suspension cells within a microfluidic bioreactor during continuous perfusion culture and media exchange.,
lafreniere_attractive_design_dmf_spe,Extraction_Purification,Extraction_Purification,Y,Protocol implements on-chip solid-phase extraction (SPE) using functionalized magnetic particles for automated sample cleanup on DMF.,
lee_nafion_proteomic_preconcentrator,Chemistry_Synthesis_Purification_MS,Chemistry_Synthesis_Purification_MS,Y,Protocol preconcentrates low-abundance peptide and protein samples across a Nafion membrane junction for downstream mass spectrometry.,
lin2019_udpla_single_cell_protein_mrna,Cell_Based_Assay,RNA_Sequencing_Epigenomics,N,Protocol performs ultra-sensitive digital proximity ligation assays to simultaneously quantify protein and mRNA abundance in single cells.,Automated classifier labeled Cell_Based_Assay; primary assay technique is proximity ligation single-cell transcript/protein digital profiling.
matthews_organoid_organoid_id,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol cultures patient-derived tumor and intestinal organoids in 3D matrices and tracks individual organoid morphodynamics.,
mei_dmf_plasma_protein_depletion,Extraction_Purification,Extraction_Purification,Y,Protocol depletes high-abundance serum albumin and immunoglobulins from human blood plasma using magnetic immunoaffinity beads on DMF.,
mercadovasquez_ultrashort_macrophage_nfkb,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol delivers sub-second pulses of cytokine ligands to single macrophages to measure transient NF-kB transcriptional activation dynamics.,
miller_dmf_immunoassay,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs automated heterogeneous sandwich immunoassay on DMF with magnetic bead separation and enzymatic chemiluminescent readout.,
mousa_dmf_estrogen_extraction,Extraction_Purification,Extraction_Purification,Y,Protocol extracts estrogen steroid hormones from breast tissue biopsies using on-chip liquid-liquid phase partitioning on DMF.,
ng2012_dmf_immunoassay,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol implements magnetic bead handling and washing protocols on DMF for automated heterogeneous immunoassays.,
ng2015_DISC_dmf,RNA_Sequencing_Epigenomics,Cell_Based_Assay,N,"Protocol performs single-cell immunocytochemistry, antibody staining, and phospho-protein quantification in adherent cells on DMF.",Automated classifier labeled RNA_Sequencing_Epigenomics due to DISC keyword; protocol is single-cell immunocytochemistry/fluorescence microscopy.
ng2015_dmf_rubella_immunoassay,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol performs digital microfluidic magnetic bead immunoassay for detecting rubella virus-specific IgG and IgM antibodies in serum.,
ng_dmf_immunoassay_disc,ELISA_Immunoassay,ELISA_Immunoassay,Y,Protocol develops and executes magnetic particle-based heterogeneous ELISA assays on digital microfluidic cartridges.,
northen_nims_mass_spectrometry,Chemistry_Synthesis_Purification_MS,Chemistry_Synthesis_Purification_MS,Y,Protocol synthesizes and functionalizes nanostructure-initiator mass spectrometry surfaces for matrix-free laser desorption/ionization.,
patel_dropgenie_dmf_crispr_screen,CRISPR_Based_Diagnostics,Synthetic_Biology_Genetic_Engineering,N,Protocol performs arrayed CRISPR/Cas9 ribonucleoprotein electroporation and knockout screening in primary human T cells on DMF.,Automated classifier labeled CRISPR_Based_Diagnostics; protocol is cellular CRISPR genome editing / knockout screening.
patel_nfkb_computer_vision_single_cell,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol captures single-cell time-lapse fluorescence microscopy of NF-kB nuclear translocation in response to TNF-alpha stimulation.,
phan_fdseq_pfa_scrna,PCR_NucleicAcid,RNA_Sequencing_Epigenomics,N,Protocol performs droplet-based single-cell RNA sequencing (FD-seq) on paraformaldehyde-fixed cells to profile transcriptomic states.,Automated classifier labeled PCR_NucleicAcid; core assay is single-cell RNA sequencing (scRNA-seq).
ramshani_ev_mirna_integrated_microfluidics,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol isolates extracellular vesicles from blood plasma and quantifies target microRNA using integrated on-chip sensing.,
sarkar_microfluidic_probe_singlecell_analysis,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol uses a hydrodynamic microfluidic probe to locally deliver biochemical stimulants and lyse single adherent cells in culture.,
schuster_organoid_drug_screening,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol cultures 3D patient-derived tumor organoids in automated microfluidic perfusion channels and screens drug response.,
schwarz_chemokine_migration_microfluidics,Chemistry_Synthesis_Purification_MS,Cell_Based_Assay,N,Protocol establishes stable chemokine concentration gradients in microchannels and tracks directed chemotactic migration of immune cells.,Automated classifier labeled Chemistry_Synthesis_Purification_MS; protocol is a cell-based chemotaxis / migration assay.
shamsi_dmf_ecl_mirna,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol performs electrochemiluminescence-based hybridization detection and profiling of target microRNAs on digital microfluidics.,
smitha_pillai_scadpl_breast_cancer,Oncology_Cell_Pathology,Oncology_Cell_Pathology,Y,Protocol performs single-cell activity-based chemoproteomic profiling on breast cancer cells to identify metastatic signaling signatures.,
son2023_coculture_spatiotemporal,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol co-cultures multiple mammalian cell types in microfluidic channels to analyze spatiotemporal paracrine cell-cell signaling.,
son_nfkb_dose_differentiation,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol stimulates single live immune cells with varying concentrations of TNF ligand to measure NF-kB dose response dynamics.,
son_nfkb_stimulus_dynamics,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol applies dynamic temporal pulses of inflammatory stimuli to single cells and records NF-kB transcription factor translocation.,
son_spatiotemporal_nfkb_microfluidics,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol establishes spatiotemporal cytokine gradient fields across cultured cell chambers to quantify single-cell NF-kB activation.,
tay_nfkb_signaling_dynamic_range,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol measures single-cell NF-kB activation stochasticity and dynamic response thresholds in microfluidic cell trap arrays.,
vc0005_aav_ddpcr_quantification,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol quantifies adeno-associated virus (AAV) vector genomic titers using droplet digital PCR partitioning and amplification.,
venturelli_gut_microbiome_glv,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol co-cultures synthetic human gut microbial consortia in microfluidic droplets to map inter-species ecological interactions.,
vistain_proxseq_10x,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol uses proximity sequencing (Prox-seq) with oligonucleotide-labeled antibodies to quantify protein complexes and mRNA on 10x single-cell platforms.,
vistain_proxseq_nature_methods_2022,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol profiles single-cell protein-protein interactions and mRNA expression simultaneously via proximity ligation sequencing.,
wang2025_macrophage_memory,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol investigates macrophage innate immune memory by tracking transcription factor translocation and chromatin dynamics over sequential stimulations.,
wang_2d_ief_cge_protein_separation,Chemistry_Synthesis_Purification_MS,Chemistry_Synthesis_Purification_MS,Y,Protocol separates complex protein mixtures using two-dimensional on-chip isoelectric focusing coupled to capillary gel electrophoresis.,
wang_nfkb_sequential_stimulation,Cell_Based_Assay,Cell_Based_Assay,Y,Protocol applies sequential inflammatory pulses to macrophages in microfluidic traps to measure transcriptional memory.,
wang_sproxseq_germinal_center,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol performs spatial proximity sequencing (SPAR-seq) to map cellular protein interactions in lymph node germinal center tissue sections.,
warkiani_malaria_inertial_microfluidics,Oncology_Cell_Pathology,Oncology_Cell_Pathology,Y,Protocol enriches malaria-parasitized red blood cells from whole blood based on parasite-induced cell stiffening in spiral microchannels.,
warkiani_membraneless_microfiltration,Extraction_Purification,Extraction_Purification,Y,Protocol performs continuous membrane-less filtration and blood plasma separation using inertial microfluidic focusing.,
warkiani_spiral_ctc_enrichment,Oncology_Cell_Pathology,Oncology_Cell_Pathology,Y,Protocol isolates rare circulating tumor cells from patient blood based on hydrodynamic cell size differences in spiral biochips.,
warkiani_spiral_ctc_isolation,Oncology_Cell_Pathology,Oncology_Cell_Pathology,Y,Protocol performs ultra-fast label-free isolation of viable circulating tumor cells from whole blood using spiral inertial microfluidics.,
watson_multilayer_hybrid_microfluidics_dmf,Device_Fabrication_Protocol_Formalization,Device_Fabrication_Protocol_Formalization,Y,Protocol fabricates a multilayer hybrid microfluidic interface coupling digital microfluidic droplet manipulation to channel-based separation.,
watterson_anaerobic_droplet_cultivation,Other,Antimicrobial_Susceptibility_Testing,N,Protocol cultures anaerobic human gut microbiota in microdroplets and screens for antibiotic-resistant bacterial isolates.,Automated classifier labeled Other; droplet cultivation and antibiotic resistance screening.
watterson_anaerobic_droplet_gut_microbiome,Cell_Based_Assay,Cell_Based_Assay,Y,"Protocol isolates, cultures, and sorts anaerobic gut microbial species in microfluidic droplets for microbiome population analysis.",
xia_proxseq_computational_prediction,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol validates proximity sequencing molecular assays and interaction data for single-cell protein complex quantification.,
xie_droplet_paired_tag,RNA_Sequencing_Epigenomics,RNA_Sequencing_Epigenomics,Y,Protocol performs droplet-based joint profiling of histone post-translational modifications and transcriptome (Paired-Tag) in single cells.,
yang_2011_dmf_spe_ppm,Extraction_Purification,Extraction_Purification,Y,Protocol forms porous polymer monolith solid phases on DMF chips for solid-phase extraction and cleanup of biological peptide samples.,
yin2020_denv_multiplexed_pcr,PCR_NucleicAcid,PCR_NucleicAcid,Y,Protocol executes multiplexed PCR amplification with impedance-based detection for serotype-specific identification of Dengue virus.,
zhou_mcf7_deformability_impedance,Oncology_Cell_Pathology,Oncology_Cell_Pathology,Y,Protocol flows MCF-7 breast cancer cells through microfluidic constrictions to characterize single-cell mechanical deformability and electrical impedance.,
